Zip_Code,Latitude,Longitude,Radius,City
11229,40.59880769999999,-73.9447994,2962.2613709298475,Brooklyn
11228,40.6137658,-74.0153231,2094.2744133334313,Brooklyn
11226,40.6470923,-73.9536163,1839.5282542575874,Brooklyn
11225,40.6648278,-73.9565551,1671.4036700095896,Brooklyn
11224,40.5749261,-73.9859414,2388.548482552515,Brooklyn
11222,40.7282702,-73.9506774,2537.3454467024762,Brooklyn
11221,40.6903213,-73.9271644,1840.5403597196762,Brooklyn
11220,40.6385229,-74.0153231,2109.714750115961,Brooklyn
11385,40.6980708,-73.8948295,3529.357765245184,Queens
10169,40.7545632,-73.9759771,188.17733774123855,Manhattan
10168,40.751356,-73.9773096,188.18055358050054,Manhattan
10167,40.75469590000001,-73.97473839999999,188.177249660202,Manhattan
10165,40.7521822,-73.9787789,188.17984818396084,Manhattan
10162,40.7693198,-73.9498789,188.1621078473521,Manhattan
10282,40.7167028,-74.0152027,927.8879555173423,Manhattan
10280,40.7084274,-74.0173484,1338.9876009415425,Manhattan
10040,40.8639624,-73.93304289999999,1916.5823290496714,Manhattan
10044,40.7573053,-73.9550857,2103.0942339803873,Manhattan
11109,40.7449081,-73.95692249999999,225.79587428297077,Queens
11102,40.7732937,-73.9286341,1719.6792887968834,Queens
11103,40.7633726,-73.9109977,1588.833106964524,Queens
11106,40.7595044,-73.9271644,1531.7863485403418,Queens
11104,40.7448741,-73.91981609999999,1150.9927293893286,Queens
11697,40.5591088,-73.9095279,2867.4454749829974,Queens
11694,40.5722132,-73.8624893,3610.6818024885147,Queens
11692,40.592658,-73.7977928,2771.147412577127,Queens
11693,40.6166766,-73.8272029,4250.410357424334,Queens
11691,40.6024346,-73.762495,2601.890253901701,Queens
10271,40.7085019,-74.0110018,188.22486090829005,Manhattan
10075,40.7728432,-73.9558204,894.0838801947549,Manhattan
11249,40.7119031,-73.9660683,1860.7576102749344,Brooklyn
10452,40.8376318,-73.92128579999999,1466.138642432602,Bronx
11451,40.7015189,-73.7959546,945.9008851175885,Queens
10475,40.87347,-73.8272029,2093.9973472244183,Bronx
10474,40.8050442,-73.8830701,2597.721490111376,Bronx
10471,40.8971509,-73.9065883,2519.6088159544333,Bronx
10470,40.89907669999999,-73.86836970000002,2581.666293708632,Bronx
10473,40.811547,-73.859549,2859.007891979468,Bronx
10472,40.8300731,-73.86836970000002,1872.7152298073015,Bronx
11223,40.6009233,-73.977126,1934.8676756914942,Brooklyn
11368,40.7506343,-73.8477874,2296.406445518325,Queens
11369,40.7659246,-73.86836970000002,1975.8568755519664,Queens
11366,40.7284018,-73.7874983,2112.2317949468493,Queens
11367,40.7295546,-73.8213213,2025.6002273820795,Queens
11364,40.7469886,-73.7536695,2625.361046594025,Queens
11365,40.7421943,-73.7889689,2308.142166840909,Queens
11362,40.7612957,-73.7330753,2535.952777684137,Queens
11363,40.7728635,-73.74484369999999,1473.955299921135,Queens
11360,40.7779482,-73.7801447,1808.518083113068,Queens
11361,40.7622954,-73.7742616,2019.0373214823537,Queens
10028,40.77664120000001,-73.9521468,1496.1232198714354,Manhattan
10029,40.79164069999999,-73.9447994,1671.2746087866785,Manhattan
10026,40.8032131,-73.95258249999999,1198.661368818679,Manhattan
10027,40.8138912,-73.96243270000001,1838.1760397100315,Manhattan
10024,40.7859464,-73.97418739999999,1921.098069070539,Manhattan
10025,40.7999209,-73.96831019999999,1721.6394325854617,Manhattan
10022,40.7593941,-73.9697795,1183.7865305976172,Manhattan
10023,40.7769059,-73.9800645,1268.8534581977628,Manhattan
10020,40.7605505,-73.98226830000002,383.4445671069783,Manhattan
10021,40.7700703,-73.9580246,1397.9603228509843,Manhattan
11212,40.6639181,-73.9154069,1888.4048441711107,Brooklyn
11213,40.6722134,-73.93892129999999,1428.8344667446033,Brooklyn
11210,40.6285158,-73.9447994,1940.6073938800723,Brooklyn
11211,40.7093358,-73.9565551,2383.2136180315806,Brooklyn
11216,40.6788319,-73.9506774,1614.0663757960406,Brooklyn
11217,40.6815619,-73.9785952,1294.3934176492864,Brooklyn
11214,40.6046106,-73.9982756,2488.1210945423986,Brooklyn
11215,40.6681669,-73.9800645,1962.5069498236223,Brooklyn
11218,40.6483744,-73.9800645,2393.761635697936,Brooklyn
11219,40.6310753,-73.9976946,2021.683925154611,Brooklyn
10152,40.758778,-73.9727343,188.17298800284783,Manhattan
10153,40.7638447,-73.9731963,188.1677588324938,Manhattan
10154,40.7577789,-73.9725344,188.17401952053865,Manhattan
10310,40.6307451,-74.1181234,1878.8077649598702,Staten Island
10312,40.555548,-74.1827119,4774.537387934117,Staten Island
10314,40.5952146,-74.1827119,5665.63493905506,Staten Island
11439,40.7213264,-73.7941163,662.9193759260934,Queens
11432,40.7154518,-73.7919103,2239.6689349343806,Queens
11433,40.69978340000001,-73.7860276,1844.9258913899362,Queens
11430,40.6433507,-73.7889689,4637.516076254913,Queens
11436,40.6718171,-73.7977928,1645.0188677521826,Queens
11434,40.6812166,-73.7772032,2950.2531605313375,Queens
11435,40.7031635,-73.8095574,2481.455130564469,Queens
10453,40.8515872,-73.9154069,1491.1917671082376,Bronx
10451,40.8187386,-73.9271644,1721.7064811500343,Bronx
10457,40.84413869999999,-73.8977693,1779.3869271133017,Bronx
10456,40.83102239999999,-73.9095279,1723.3370583054634,Bronx
10455,40.8147803,-73.90805809999999,1386.27622020903,Bronx
10454,40.8022594,-73.9154069,1984.147839572133,Bronx
10459,40.8285039,-73.8918897,1567.293096169405,Bronx
10458,40.8621792,-73.88601,1920.51218058108,Bronx
